"country","weighted_mean_distance","median_distance","min_distance","max_distance","total_professionals","continent"
"ARGENTINA",1293.33333333333,1200,400,5000,15,"South America"
"BRAZIL",1006.55737704918,800,400,2400,122,"South America"
"CANADA",1047.82608695652,800,400,5000,46,"North America"
"CHILE",1363.63636363636,1200,400,10000,55,"South America"
"CHINA",776,800,400,2400,100,"Asia"
"FINLAND",1160.34482758621,1200,400,10000,116,"Europe"
"FRANCE",1379.41176470588,1200,400,10000,68,"Europe"
"GERMANY",908.333333333333,800,400,1600,48,"Europe"
"GREECE",1350,800,400,10000,16,"Europe"
"HUNGARY",1677.58620689655,1200,400,10000,116,"Europe"
"ISRAEL",1203.44827586207,800,400,10000,58,"Asia"
"ITALY",1194.59459459459,1200,400,5000,37,"Europe"
"KENYA",1390.90909090909,1200,400,5000,22,"Africa"
"NETHERLANDS",2106.97674418605,800,400,10000,43,"Europe"
"NORWAY",897.297297297297,800,400,1600,37,"Europe"
"POLAND",1343.15789473684,1200,400,10000,95,"Europe"
"PORTUGAL",1290.90909090909,1200,400,10000,66,"Europe"
"SPAIN",1406.59340659341,1200,400,10000,91,"Europe"
"TUNISIA",971.428571428571,800,400,1600,14,"Africa"
"TURKEY",962.162162162162,800,400,1600,37,"Asia"
"URUGUAY",1244.44444444444,1200,400,10000,45,"South America"
"USA",1433.76623376623,1200,400,10000,77,"North America"
