id,q1_terms_adequance_from1_to_5,q1_local_accessibility,q1_micro_accessibility,q1_neighbourhood_accessibility,q1_walking_accessibility,q1_non_motorized_accessibility,q1_active_accessibility,q1_accessibility_by_proximity,q1_proximity_based_accessibility,q1_active_travel_or_human_powered_transportation,q1_pedestrian_accessibility,q1_bicycle_accessibility,q1_short_based_accessibility,q1_urban_accessibility,q1_sustainable_accessibility,q5_relevance_of_activities,q5_jobs,q5_pre_primary_schools,q5_primary_schools,q5_high_schools,q5_higher_education_facilities,q5_hospitals,q5_pharmacies,q5_general_practitian_medical_doctor,q5_sports_facilities,q5_parks_green_spaces,q5_playground,q5_banks,q5_food_shopping,q5_non_food_shopping,q5_restaurants_cafes,q5_cinema_theater_other_cultural_facilties,q5_post_office,q6_time_for_activities,q6_jobs2,q6_pre_primary_schools2,q6_primary_schools2,q6_high_schools2,q6_higher_education_facilities2,q6_hospitals2,q6_pharmacies2,q6_general_practitian_medical_doctor_2,q6_sports_facilities2,q6_parks_green_spaces2,q6_playground2,q6_banks2,q6_food_shopping2,q6_non_food_shopping2,q6_restaurants_cafes2,q6_cinema_theater_other_cultural_facilties2,q6_post_office2,q4_proximity_time,q4_threshold,country
2,,4,4,3,3,3,3,3,3,3,3,2,2,2,2,,3,5,5,4,4,4,3,3,2,2,4,2,3,2,3,1,1,,20,10,10,20,30,30,30,30,30,30,30,20,20,30,20,30,30,,400,Germany
3,,4,3,3,4,1,2,1,1,1,5,1,1,1,1,,3,5,5,4,2,2,5,5,4,5,5,4,5,4,5,3,5,,20,5,5,10,30,30,5,5,10,5,5,10,5,15,10,20,10,,400,Belgium
4,,4,1,3,4,4,2,5,5,1,4,4,2,1,2,,4,5,5,4,3,3,4,4,4,5,5,2,5,4,4,3,4,,60,10,10,15,30,45,15,15,10,5,5,45,15,30,30,30,15,,1200,Norway
5,,4,1,5,3,4,1,2,2,1,2,2,1,1,1,,5,5,5,3,3,4,5,5,3,4,4,3,5,5,5,4,3,,45,15,15,30,30,45,20,20,30,15,15,30,10,45,30,60,30,,800,The Netherlands
6,,3,2,3,4,4,3,3,3,3,3,3,3,3,3,,5,3,3,3,3,4,2,2,2,4,4,2,4,3,3,3,3,,30,15,20,30,30,30,15,15,60,10,5,20,10,20,30,30,30,,800,Norway
7,,3,2,4,2,2,2,4,5,2,2,2,5,2,1,,4,5,5,3,3,1,5,5,3,5,5,5,5,3,3,2,4,,20,10,10,20,20,30,10,10,20,10,10,10,10,20,20,30,10,,1600,Italy
8,,3,2,2,2,2,2,3,4,2,1,1,3,2,2,,5,5,5,5,5,5,4,5,2,4,5,5,5,2,2,2,5,,45,30,15,45,45,30,15,30,45,15,10,45,20,45,60,60,20,,800,United Kingdom
9,,4,1,4,3,3,3,4,4,1,3,2,1,1,1,,3,5,5,5,3,3,4,4,5,5,5,4,5,4,4,3,4,,45,10,10,20,30,20,10,20,15,5,5,10,10,15,10,15,10,,800,Canada
10,,4,2,3,3,4,2,2,5,3,3,3,1,1,1,,5,3,3,3,2,2,2,2,3,4,3,2,4,4,3,3,2,,30,10,10,15,30,15,15,15,15,5,5,15,15,15,15,15,15,,800,United States
11,,5,2,3,2,3,2,3,5,2,2,2,2,1,4,,4,5,5,5,3,3,5,5,4,5,5,5,5,4,5,3,3,,30,15,15,15,30,30,10,10,20,15,15,15,10,20,10,20,20,,1600,Spain
