country,id,q1_term_positions,q1_no_term,q1_local_accessibility,q1_micro_accessibility,q1_neighbourhood_accessibility,q1_walking_accessibility,q1_non_motorized_accessibility,q1_active_accessibility,q1_accessibility_by_proximity,q1_proximity_based_accessibility,q1_active_travel_or_human_powered_transportation,q1_pedestrian_accessibility,q1_bicycle_accessibility,q1_short_based_accessibility,q1_urban_accessibility,q1_sustainable_accessibility,q1_other,q2_other_term,q3_term_comment,q4_nearby_distance,q5_jobs,q5_pre_primary_schools,q5_primary_schools,q5_high_schools,q5_higher_education_facilities,q5_hospitals,q5_pharmacies,q5_general_practitioner_medical_doctor,q5_sports_facilities_a_place_to_practice_sports,q5_parks_green_spaces,q5_playground,q5_banks_atm,q5_restaurants_cafes,q5_food_shopping,q5_non_food_shopping,q5_cinema_theater_other_cultural_facilities,q5_post_office_pick_up_points,q5_beauty_salon,q6_jobs2,q6_pre_primary_schools2,q6_primary_schools2,q6_high_schools2,q6_higher_education_facilities2,q6_hospitals2,q6_pharmacies2,q6_general_practitioner_medical_doctor_2,q6_sports_facilities_a_place_to_practice_sports_2,q6_parks_green_spaces2,q6_playground2,q6_banks_atm2,q6_restaurants_cafes2,q6_food_shopping2,q6_non_food_shopping2,q6_cinema_theater_other_cultural_facilities2,q6_post_office_pick_up_points2,q6_beauty_salon2,q7_any_additional_activity,q8_additional_activity,q9_reasonable_time_to_additional_activity,q10_professional_activity_positions,q10_political_responsibilities_politicians_decision_makers,q10_technical_responsibilities_planners,q10_consultant_responsibilities,q10_other_responsibilities,q11_importance_proximity_profession,q12_professional_field_positions,q12_urban_planning_land_use_planning_spatial_planning,q12_transport_planning_traffic_planning_traffic_engineering,q12_any_other_professional_field,q13_other_professional_field,q14_city_size_positions,q14_megacities_above_10_000_000_inhabitants,q14_very_large_cities_between_500_000_and_10_000_000_inhabitants,q14_large_cities_between_250_000_and_500_000_inhabitants,q14_medium_cities_between_100_000_and_250_000_inhabitants,q14_small_cities_100_000_inhabitants,q15_city,age,sex
ARGENTINA,1,2;3;4;5;7;6;10;11;14;,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,,,4,3,4,4,4,3,4,3,3,3,5,5,3,4,4,4,2,1,2,4,3,3,3,5,1,2,3,3,1,1,2,2,2,3,5,5,5,No,,,2;3;,0,1,1,0,5,1;,1,0,0,,4;,0,0,0,1,0,San Carlos de Bariloche,2,1
ARGENTINA,2,10;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,2,3,5,5,4,2,3,5,4,5,4,5,4,3,5,4,2,4,3,5,2,2,4,5,3,1,2,1,3,1,2,5,2,3,5,3,3,No,,,2;,0,1,0,0,3,2;,0,1,0,,2;,0,1,0,0,0,Córdoba,5,1
ARGENTINA,3,2;7;,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,Si bien hay términos que serian correctos.... Urban Accessibility... Sustainable Accessibility.... considero que son más precisos para el caso los indicados.,3,4,5,5,4,3,4,4,4,5,5,5,4,3,4,3,2,2,2,4,2,2,3,5,2,2,2,2,2,2,3,3,3,4,5,5,5,Si,Cercanía a parada de medio de transporte masivo,5min,2;,0,1,0,0,5,1;,1,0,0,,2;,0,1,0,0,0,Córdoba,4,2
ARGENTINA,4,1;3;7;10;8;,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,,"NosOthers anclamos el término en el concepto de proximidad, hablando de ""ciudad próxima"".",2,2,5,5,3,1,2,4,3,5,5,5,5,5,5,3,4,5,3,6,2,2,5,6,5,2,5,2,3,2,2,2,1,4,5,2,5,No,,,1;2;,1,1,0,0,5,1;3;,1,0,1,Participación ciudadana en proyectos urbanos. Investigación social aplicada a proyectos urbanos.,2;,0,1,0,0,0,Ciudad de Buenos Aires,3,1
ARGENTINA,5,3;6;1;9;15;,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,movimientos de cercanía o transporte zonal,,4,3,5,5,4,3,3,5,5,3,3,5,4,3,5,3,2,2,4,4,2,2,3,4,4,2,2,2,4,1,2,4,2,4,5,5,3,No,,,2;,0,1,0,0,3,2;,0,1,0,,2;,0,1,0,0,0,Salta,3,2
ARGENTINA,6,1;6;13;,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,2,3,5,4,3,2,4,5,5,3,3,5,4,3,5,4,2,2,3,5,1,2,4,6,2,1,1,3,4,1,2,2,1,3,5,7,3,No,,,2;3;4;,0,1,1,1,3,1;,1,0,0,,5;2;,0,1,0,0,1,Rosario (que tiene un millón de habitantes) y localidades de su entorno metropolitano (que oscilan entre 5 y 100 mil habitantes),4,1
ARGENTINA,7,3;8;12;,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,,,3,4,5,5,4,3,4,5,4,3,5,5,5,4,5,3,3,3,3,4,3,3,3,5,3,2,4,4,2,2,2,3,3,4,5,4,4,No,,,1;2;3;,1,1,1,0,3,1;,1,0,0,,5;,0,0,0,0,1,Mercedes- Buenos Aires,2,2
ARGENTINA,8,14;1;12;8;,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,3,4,5,5,5,3,5,5,5,4,5,5,5,4,5,4,3,3,4,5,2,2,2,5,3,2,2,3,2,1,2,2,1,2,3,2,2,Si,"Tramites, oficinas estatales descentralizadas",15min,1;2;3;,1,1,1,0,4,3;,0,0,1,Movilidad Sustentable,2;,0,1,0,0,0,Salta Ciudad,3,1
ARGENTINA,9,7;,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,2,1,5,5,3,2,3,5,3,5,5,5,3,2,4,1,1,2,4,5,1,1,3,4,3,1,3,1,1,1,3,3,2,4,5,4,2,No,,,2;,0,1,0,0,3,2;,0,1,0,,2;,0,1,0,0,0,Córdoba,2,2
ARGENTINA,10,5;,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,2,5,5,4,3,2,4,4,4,3,3,3,3,3,4,3,3,1,1,2,2,2,3,3,2,2,2,3,4,3,4,3,4,4,4,4,4,No,,,2;1;,1,1,0,0,5,2;,0,1,0,,2;,0,1,0,0,0,,5,1
ARGENTINA,11,1;2;4;6;7;10;11;12;14;,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,,,3,3,5,4,3,2,4,3,1,3,4,4,1,2,4,2,2,3,1,4,2,3,4,5,2,3,5,3,2,1,5,4,1,5,4,4,5,No,,,2;,0,1,0,0,4,2;,0,1,0,,4;,0,0,0,1,0,San Carlos de Bariloche,2,2
ARGENTINA,12,1;7;,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,2,3,4,4,4,2,3,5,4,4,3,4,4,2,5,3,2,1,2,3,4,4,4,5,3,2,3,2,3,3,3,4,3,6,6,7,3,No,,,1;2;,1,1,0,0,3,3;,0,0,1,Dirección de Vivienda y Hábitat,5;,0,0,0,0,1,Municipalidad Ciudad de Mendoza - Argentina,3,2
ARGENTINA,13,1;7;8;,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,1,4,5,5,5,3,4,5,4,3,4,5,4,2,4,3,2,4,1,5,1,1,1,3,3,2,3,4,1,1,2,3,3,4,4,2,5,No,,,3;,0,0,1,0,5,2;3;,0,1,1,Seguridad Vial,1;,1,0,0,0,0,Ciudad Autónoma de Buenos Aires,2,1
ARGENTINA,14,1;4;5;7;10;11;12;,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,,,3,5,3,3,3,2,5,5,5,5,4,5,5,4,5,4,4,3,4,3,4,4,4,5,2,2,2,3,3,2,2,3,2,2,4,4,4,No,,,2;,0,1,0,0,4,2;,0,1,0,,2;,0,1,0,0,0,SALTA CAPITAL,3,1
ARGENTINA,15,1;,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6,4,5,5,5,3,4,5,4,4,4,5,4,3,5,3,3,4,3,5,3,3,3,5,3,2,4,4,2,1,2,4,2,3,4,3,4,No,,,1;2;,1,1,0,0,4,2;,0,1,0,,2;,0,1,0,0,0,"Municipalidad de la Ciudad de Salta, Argentina",4,1
BRAZIL,16,0;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,5,5,5,5,4,5,4,5,4,4,4,3,3,3,3,3,3,3,5,5,5,5,5,1,4,5,6,6,6,6,6,6,6,6,6,6,Não,,,2;,0,1,0,0,5,2;,0,1,0,,2;,0,1,0,0,0,São José dos Campos / SP,4,1
BRAZIL,17,0;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Desconheço este conceito,2,3,5,5,5,5,5,4,4,4,3,4,2,2,2,2,2,2,1,6,3,3,3,5,3,3,3,5,5,4,6,6,5,6,5,6,6,Sim,Serviços Públicos das diversas esferas de governo,30min,1;,1,0,0,0,3,2;,0,1,0,,3;,0,0,1,0,0,Vitória da Conquista-BA,2,1
